fragment;ai
rec002_20090430_10.09.49(1635-1650).csv;50.0
rec002_20090430_10.09.49(1650-1665).csv;50.0
rec002_20090430_10.09.49(1665-1680).csv;50.0
rec002_20090430_10.09.49(1680-1695).csv;50.0
rec002_20090430_10.09.49(1695-1710).csv;50.0
rec002_20090430_10.09.49(1710-1725).csv;50.0
rec002_20090430_10.09.49(1725-1740).csv;50.0
rec002_20090430_10.09.49(1740-1755).csv;50.0
rec002_20090430_10.09.49(1755-1770).csv;50.0
rec002_20090430_10.09.49(1770-1785).csv;50.0
rec002_20090430_10.09.49(1785-1800).csv;50.0
rec002_20090430_10.09.49(1800-1815).csv;50.0
rec002_20090430_10.09.49(1815-1830).csv;50.0
rec002_20090430_10.09.49(1830-1845).csv;50.0
rec002_20090430_10.09.49(1845-1860).csv;50.0
rec002_20090430_10.09.49(1860-1875).csv;50.0
rec002_20090430_10.09.49(1875-1890).csv;50.0
rec002_20090430_10.09.49(1890-1905).csv;50.0
rec002_20090430_10.09.49(1905-1920).csv;50.0
rec002_20090430_10.09.49(1920-1935).csv;50.0
rec002_20090430_10.09.49(1935-1950).csv;50.0
rec002_20090430_10.09.49(1950-1965).csv;50.0
rec002_20090430_10.09.49(1965-1980).csv;50.0
rec002_20090430_10.09.49(1980-1995).csv;50.0
rec002_20090430_10.09.49(1995-2010).csv;50.0
rec002_20090430_10.09.49(2010-2025).csv;50.0
rec002_20090430_10.09.49(2025-2040).csv;50.0
rec002_20090430_10.09.49(2040-2055).csv;50.0
rec002_20090430_10.09.49(2055-2070).csv;50.0
rec002_20090430_10.09.49(2070-2085).csv;50.0
rec002_20090430_10.09.49(2085-2100).csv;50.0
rec002_20090430_10.09.49(2100-2115).csv;50.0
rec002_20090430_10.09.49(2115-2130).csv;50.0
rec002_20090430_10.09.49(2130-2145).csv;50.0
rec002_20090430_10.09.49(2145-2160).csv;50.0
rec002_20090430_10.09.49(2160-2175).csv;50.0
rec002_20090430_10.09.49(2175-2190).csv;50.0
rec002_20090430_10.09.49(2190-2205).csv;50.0
rec002_20090430_10.09.49(2205-2220).csv;50.0
rec002_20090430_10.09.49(2220-2235).csv;50.0
rec002_20090430_10.09.49(2235-2250).csv;50.0
rec002_20090430_10.09.49(2250-2265).csv;50.0
rec002_20090430_10.09.49(2265-2280).csv;50.0
rec002_20090430_10.09.49(2280-2295).csv;50.0
rec002_20090430_10.09.49(2295-2310).csv;50.0
rec002_20090430_10.09.49(2310-2325).csv;50.0
rec002_20090430_10.09.49(2325-2340).csv;50.0
rec002_20090430_10.09.49(2340-2355).csv;50.0
rec002_20090430_10.09.49(2355-2370).csv;50.0
rec002_20090430_10.09.49(2370-2385).csv;50.0
rec002_20090430_10.09.49(2385-2400).csv;50.0
rec002_20090430_10.09.49(2400-2415).csv;50.0
rec002_20090430_10.09.49(2415-2430).csv;50.0
rec002_20090430_10.09.49(2430-2445).csv;50.0
rec002_20090430_10.09.49(2445-2460).csv;50.0
rec002_20090430_10.09.49(2460-2475).csv;50.0
rec002_20090430_10.09.49(2475-2490).csv;50.0
rec002_20090430_10.09.49(2490-2505).csv;50.0
rec002_20090430_10.09.49(2505-2520).csv;50.0
rec002_20090430_10.09.49(2520-2535).csv;50.0
rec002_20090430_10.09.49(2535-2550).csv;50.0
rec002_20090430_10.09.49(2550-2565).csv;50.0
rec002_20090430_10.09.49(2565-2580).csv;50.0
rec002_20090430_10.09.49(2580-2595).csv;50.0
rec002_20090430_10.09.49(2595-2610).csv;50.0
rec002_20090430_10.09.49(2610-2625).csv;50.0
rec002_20090430_10.09.49(2625-2640).csv;50.0
rec002_20090430_10.09.49(2640-2655).csv;50.0
rec002_20090430_10.09.49(2655-2670).csv;50.0
rec002_20090430_10.09.49(2670-2685).csv;50.0
rec002_20090430_10.09.49(2685-2700).csv;50.0
rec002_20090430_10.09.49(2700-2715).csv;50.0
rec002_20090430_10.09.49(2715-2730).csv;50.0
rec002_20090430_10.09.49(2730-2745).csv;50.0
rec002_20090430_10.09.49(2745-2760).csv;50.0
rec002_20090430_10.09.49(2760-2775).csv;50.0
rec002_20090430_10.09.49(2775-2790).csv;50.0
rec002_20090430_10.09.49(2790-2805).csv;50.0
rec002_20090430_10.09.49(2805-2820).csv;50.0
rec002_20090430_10.09.49(2820-2835).csv;50.0
rec002_20090430_10.09.49(2835-2850).csv;50.0
rec002_20090430_10.09.49(2850-2865).csv;50.0
rec002_20090430_10.09.49(2865-2880).csv;50.0
rec002_20090430_10.09.49(2880-2895).csv;50.0
rec002_20090430_10.09.49(2895-2910).csv;50.0
rec002_20090430_10.09.49(2910-2925).csv;50.0
rec002_20090430_10.09.49(2925-2940).csv;50.0
rec002_20090430_10.09.49(2940-2955).csv;50.0
rec002_20090430_10.09.49(2955-2970).csv;50.0
rec002_20090430_10.09.49(2970-2985).csv;50.0
rec002_20090430_10.09.49(2985-3000).csv;50.0
rec002_20090430_10.09.49(3000-3015).csv;50.0
rec002_20090430_10.09.49(3015-3030).csv;50.0
rec002_20090430_10.09.49(3030-3045).csv;50.0
rec002_20090430_10.09.49(3045-3060).csv;50.0
rec002_20090430_10.09.49(3060-3075).csv;50.0
rec002_20090430_10.09.49(3075-3090).csv;50.0
rec002_20090430_10.09.49(3090-3105).csv;50.0
rec002_20090430_10.09.49(3105-3120).csv;50.0
rec002_20090430_10.09.49(3120-3135).csv;50.0
rec002_20090430_10.09.49(3135-3150).csv;50.0
rec002_20090430_10.09.49(3150-3165).csv;50.0
rec002_20090430_10.09.49(3165-3180).csv;50.0
rec002_20090430_10.09.49(3180-3195).csv;50.0
rec002_20090430_10.09.49(3195-3210).csv;50.0
rec002_20090430_10.09.49(3210-3225).csv;50.0
rec002_20090430_10.09.49(3225-3240).csv;50.0
rec002_20090430_10.09.49(3240-3255).csv;50.0
rec002_20090430_10.09.49(3255-3270).csv;50.0
rec002_20090430_10.09.49(3270-3285).csv;50.0
rec002_20090430_10.09.49(3285-3300).csv;50.0
rec002_20090430_10.09.49(3300-3315).csv;50.0
rec002_20090430_10.09.49(3315-3330).csv;50.0
rec002_20090430_10.09.49(3330-3345).csv;50.0
rec002_20090430_10.09.49(3345-3360).csv;50.0
rec002_20090430_10.09.49(3360-3375).csv;50.0
rec002_20090430_10.09.49(3375-3390).csv;50.0
rec002_20090430_10.09.49(3390-3405).csv;50.0
rec002_20090430_10.09.49(3405-3420).csv;50.0
rec002_20090430_10.09.49(3420-3435).csv;50.0
rec002_20090430_10.09.49(3435-3450).csv;50.0
rec002_20090430_10.09.49(3450-3465).csv;50.0
rec002_20090430_10.09.49(3465-3480).csv;50.0
rec002_20090430_10.09.49(3480-3495).csv;50.0
rec002_20090430_10.09.49(3495-3510).csv;50.0
rec002_20090430_10.09.49(3510-3525).csv;50.0
rec002_20090430_10.09.49(3525-3540).csv;50.0
rec002_20090430_10.09.49(3540-3555).csv;50.0
rec002_20090430_10.09.49(3555-3570).csv;50.0
rec002_20090430_10.09.49(3570-3585).csv;50.0
rec002_20090430_10.09.49(3585-3600).csv;50.0
rec002_20090430_10.09.49(3600-3615).csv;50.0
rec002_20090430_10.09.49(3615-3630).csv;50.0
rec002_20090430_10.09.49(3630-3645).csv;50.0
rec002_20090430_10.09.49(3645-3660).csv;50.0
rec002_20090430_10.09.49(3660-3675).csv;50.0
rec002_20090430_10.09.49(3675-3690).csv;50.0
rec002_20090430_10.09.49(3690-3705).csv;50.0
rec002_20090430_10.09.49(3705-3720).csv;50.0
rec002_20090430_10.09.49(3720-3735).csv;50.0
rec002_20090430_10.09.49(3735-3750).csv;50.0
rec002_20090430_10.09.49(3750-3765).csv;50.0
rec002_20090430_10.09.49(3765-3780).csv;50.0
rec002_20090430_10.09.49(3780-3795).csv;50.0
rec002_20090430_10.09.49(3795-3810).csv;50.0
rec002_20090430_10.09.49(3810-3825).csv;50.0
rec002_20090430_10.09.49(3825-3840).csv;50.0
rec002_20090430_10.09.49(3840-3855).csv;50.0
rec002_20090430_10.09.49(3855-3870).csv;50.0
rec002_20090430_10.09.49(3870-3885).csv;50.0
rec002_20090430_10.09.49(3885-3900).csv;50.0
rec002_20090430_10.09.49(3900-3915).csv;50.0
rec002_20090430_10.09.49(3915-3930).csv;50.0
rec002_20090430_10.09.49(3930-3945).csv;50.0
rec002_20090430_10.09.49(3945-3960).csv;50.0
rec002_20090430_10.09.49(3960-3975).csv;50.0
rec002_20090430_10.09.49(3975-3990).csv;50.0
rec002_20090430_10.09.49(3990-4005).csv;50.0
rec002_20090430_10.09.49(4005-4020).csv;50.0
rec002_20090430_10.09.49(4020-4035).csv;50.0
rec002_20090430_10.09.49(4035-4050).csv;50.0
rec002_20090430_10.09.49(4050-4065).csv;50.0
rec002_20090430_10.09.49(4065-4080).csv;50.0
rec002_20090430_10.09.49(4080-4095).csv;50.0
rec002_20090430_10.09.49(4095-4110).csv;50.0
rec002_20090430_10.09.49(4110-4125).csv;50.0
rec002_20090430_10.09.49(4125-4140).csv;50.0
rec002_20090430_10.09.49(4140-4155).csv;50.0
rec002_20090430_10.09.49(4155-4170).csv;50.0
rec002_20090430_10.09.49(4170-4185).csv;50.0
rec002_20090430_10.09.49(4185-4200).csv;50.0
rec002_20090430_10.09.49(4200-4215).csv;50.0
rec002_20090430_10.09.49(4215-4230).csv;50.0
rec002_20090430_10.09.49(4230-4245).csv;50.0
rec002_20090430_10.09.49(4245-4260).csv;50.0
rec002_20090430_10.09.49(4260-4275).csv;50.0
rec002_20090430_10.09.49(4275-4290).csv;50.0
rec002_20090430_10.09.49(4290-4305).csv;50.0
rec002_20090430_10.09.49(4305-4320).csv;50.0
rec002_20090430_10.09.49(4320-4335).csv;50.0
rec002_20090430_10.09.49(4335-4350).csv;50.0
rec002_20090430_10.09.49(4350-4365).csv;50.0
rec002_20090430_10.09.49(4365-4380).csv;50.0
rec002_20090430_10.09.49(4380-4395).csv;50.0
rec002_20090430_10.09.49(4395-4410).csv;50.0
rec002_20090430_10.09.49(4410-4425).csv;50.0
rec002_20090430_10.09.49(4425-4440).csv;50.0
rec002_20090430_10.09.49(4440-4455).csv;50.0
rec002_20090430_10.09.49(4455-4470).csv;50.0
rec002_20090430_10.09.49(4470-4485).csv;50.0
rec002_20090430_10.09.49(4485-4500).csv;50.0
rec002_20090430_10.09.49(4500-4515).csv;50.0
rec002_20090430_10.09.49(4515-4530).csv;50.0
rec002_20090430_10.09.49(4530-4545).csv;50.0
rec002_20090430_10.09.49(4545-4560).csv;50.0
rec002_20090430_10.09.49(4560-4575).csv;50.0
rec002_20090430_10.09.49(4575-4590).csv;50.0
rec002_20090430_10.09.49(4590-4605).csv;50.0
rec002_20090430_10.09.49(4605-4620).csv;50.0
rec002_20090430_10.09.49(4620-4635).csv;50.0
rec002_20090430_10.09.49(4635-4650).csv;50.0
rec002_20090430_10.09.49(4650-4665).csv;50.0
rec002_20090430_10.09.49(4665-4680).csv;50.0
rec002_20090430_10.09.49(4680-4695).csv;50.0
rec002_20090430_10.09.49(4695-4710).csv;50.0
rec002_20090430_10.09.49(4710-4725).csv;50.0
rec002_20090430_10.09.49(4725-4740).csv;50.0
rec002_20090430_10.09.49(4740-4755).csv;50.0
rec002_20090430_10.09.49(4755-4770).csv;50.0
rec002_20090430_10.09.49(4770-4785).csv;50.0
rec002_20090430_10.09.49(4785-4800).csv;50.0
rec002_20090430_10.09.49(4800-4815).csv;50.0
rec002_20090430_10.09.49(4815-4830).csv;50.0
rec002_20090430_10.09.49(4830-4845).csv;50.0
rec002_20090430_10.09.49(4845-4860).csv;50.0
rec002_20090430_10.09.49(4860-4875).csv;50.0
rec002_20090430_10.09.49(4875-4890).csv;50.0
rec002_20090430_10.09.49(4890-4905).csv;50.0
rec002_20090430_10.09.49(4905-4920).csv;50.0
rec002_20090430_10.09.49(4920-4935).csv;50.0
rec002_20090430_10.09.49(4935-4950).csv;50.0
rec002_20090430_10.09.49(4950-4965).csv;50.0
rec002_20090430_10.09.49(4965-4980).csv;50.0
rec002_20090430_10.09.49(4980-4995).csv;50.0
rec002_20090430_10.09.49(4995-5010).csv;50.0
rec002_20090430_10.09.49(5010-5025).csv;50.0
rec002_20090430_10.09.49(5025-5040).csv;50.0
rec002_20090430_10.09.49(5040-5055).csv;50.0
rec002_20090430_10.09.49(5055-5070).csv;50.0
rec002_20090430_10.09.49(5070-5085).csv;50.0
rec002_20090430_10.09.49(5085-5100).csv;50.0
rec002_20090430_10.09.49(5100-5115).csv;50.0
rec002_20090430_10.09.49(5115-5130).csv;50.0
rec002_20090430_10.09.49(5130-5145).csv;50.0
rec002_20090430_10.09.49(5145-5160).csv;50.0
rec002_20090430_10.09.49(5160-5175).csv;50.0
rec002_20090430_10.09.49(5175-5190).csv;50.0
rec002_20090430_10.09.49(5190-5205).csv;50.0
rec002_20090430_10.09.49(5205-5220).csv;50.0
rec002_20090430_10.09.49(5220-5235).csv;50.0
rec002_20090430_10.09.49(5235-5250).csv;50.0
rec002_20090430_10.09.49(5250-5265).csv;50.0
rec002_20090430_10.09.49(5265-5280).csv;50.0
rec002_20090430_10.09.49(5280-5295).csv;50.0
rec002_20090430_10.09.49(5295-5310).csv;50.0
rec002_20090430_10.09.49(5310-5325).csv;50.0
rec002_20090430_10.09.49(5325-5340).csv;50.0
rec002_20090430_10.09.49(5340-5355).csv;50.0
rec002_20090430_10.09.49(5355-5370).csv;50.0
rec002_20090430_10.09.49(5370-5385).csv;50.0
rec002_20090430_10.09.49(5385-5400).csv;50.0
rec002_20090430_10.09.49(5400-5415).csv;50.0
rec002_20090430_10.09.49(5415-5430).csv;50.0
rec002_20090430_10.09.49(5430-5445).csv;50.0
rec002_20090430_10.09.49(5445-5460).csv;50.0
rec002_20090430_10.09.49(5460-5475).csv;50.0
rec002_20090430_10.09.49(5475-5490).csv;50.0
rec002_20090430_10.09.49(5490-5505).csv;50.0
rec002_20090430_10.09.49(5505-5520).csv;50.0
rec002_20090430_10.09.49(5520-5535).csv;50.0
rec002_20090430_10.09.49(5535-5550).csv;50.0
rec002_20090430_10.09.49(5550-5565).csv;50.0
rec002_20090430_10.09.49(5565-5580).csv;50.0
rec002_20090430_10.09.49(5580-5595).csv;50.0
rec002_20090430_10.09.49(5595-5610).csv;50.0
rec002_20090430_10.09.49(5610-5625).csv;50.0
rec002_20090430_10.09.49(5625-5640).csv;50.0
rec002_20090430_10.09.49(5640-5655).csv;50.0
rec002_20090430_10.09.49(5655-5670).csv;50.0
rec002_20090430_10.09.49(5670-5685).csv;50.0
rec002_20090430_10.09.49(5685-5700).csv;50.0
rec002_20090430_10.09.49(5700-5715).csv;50.0
rec002_20090430_10.09.49(5715-5730).csv;50.0
rec002_20090430_10.09.49(5730-5745).csv;50.0
rec002_20090430_10.09.49(5745-5760).csv;50.0
rec002_20090430_10.09.49(5760-5775).csv;50.0
rec002_20090430_10.09.49(5775-5790).csv;50.0
rec002_20090430_10.09.49(5790-5805).csv;50.0
rec002_20090430_10.09.49(5805-5820).csv;50.0
rec002_20090430_10.09.49(5820-5835).csv;50.0
rec002_20090430_10.09.49(5835-5850).csv;50.0
rec002_20090430_10.09.49(5850-5865).csv;50.0
rec002_20090430_10.09.49(5865-5880).csv;50.0
rec002_20090430_10.09.49(5880-5895).csv;50.0
rec002_20090430_10.09.49(5895-5910).csv;50.0
rec002_20090430_10.09.49(5910-5925).csv;50.0
rec002_20090430_10.09.49(5925-5940).csv;50.0
rec002_20090430_10.09.49(5940-5955).csv;50.0
rec002_20090430_10.09.49(5955-5970).csv;50.0
rec002_20090430_10.09.49(5970-5985).csv;50.0
rec002_20090430_10.09.49(5985-6000).csv;50.0
rec002_20090430_10.09.49(6000-6015).csv;50.0
rec002_20090430_10.09.49(6015-6030).csv;50.0
rec002_20090430_10.09.49(6030-6045).csv;50.0
rec002_20090430_10.09.49(6045-6060).csv;50.0
rec002_20090430_10.09.49(6060-6075).csv;50.0
rec002_20090430_10.09.49(6075-6090).csv;50.0
rec002_20090430_10.09.49(6090-6105).csv;50.0
rec002_20090430_10.09.49(6105-6120).csv;50.0
rec002_20090430_10.09.49(6120-6135).csv;50.0
rec002_20090430_10.09.49(6135-6150).csv;50.0
rec002_20090430_10.09.49(6150-6165).csv;50.0
rec002_20090430_10.09.49(6165-6180).csv;50.0
rec002_20090430_10.09.49(6180-6195).csv;50.0
rec002_20090430_10.09.49(6195-6210).csv;50.0
rec002_20090430_10.09.49(6210-6225).csv;50.0
rec002_20090430_10.09.49(6225-6240).csv;50.0
rec002_20090430_10.09.49(6240-6255).csv;50.0
rec002_20090430_10.09.49(6255-6270).csv;50.0
rec002_20090430_10.09.49(6270-6285).csv;50.0
rec002_20090430_10.09.49(6285-6300).csv;50.0
rec002_20090430_10.09.49(6300-6315).csv;50.0
rec002_20090430_10.09.49(6315-6330).csv;50.0
rec002_20090430_10.09.49(6330-6345).csv;50.0
rec002_20090430_10.09.49(6345-6360).csv;50.0
rec002_20090430_10.09.49(6360-6375).csv;50.0
rec002_20090430_10.09.49(6375-6390).csv;50.0
rec002_20090430_10.09.49(6390-6405).csv;50.0
rec002_20090430_10.09.49(6405-6420).csv;50.0
rec002_20090430_10.09.49(6420-6435).csv;50.0
rec002_20090430_10.09.49(6435-6450).csv;50.0
rec002_20090430_10.09.49(6450-6465).csv;50.0
rec002_20090430_10.09.49(6465-6480).csv;50.0
rec002_20090430_10.09.49(6480-6495).csv;50.0
rec002_20090430_10.09.49(6495-6510).csv;50.0
rec002_20090430_10.09.49(6510-6525).csv;50.0
rec002_20090430_10.09.49(6525-6540).csv;50.0
rec002_20090430_10.09.49(6540-6555).csv;50.0
rec002_20090430_10.09.49(6555-6570).csv;50.0
rec002_20090430_10.09.49(6570-6585).csv;50.0
rec002_20090430_10.09.49(6585-6600).csv;50.0
rec002_20090430_10.09.49(6600-6615).csv;50.0
rec002_20090430_10.09.49(6615-6630).csv;50.0
rec002_20090430_10.09.49(6630-6645).csv;50.0
rec002_20090430_10.09.49(6645-6660).csv;50.0
rec002_20090430_10.09.49(6660-6675).csv;50.0
rec002_20090430_10.09.49(6675-6690).csv;50.0
rec002_20090430_10.09.49(6690-6705).csv;50.0
rec002_20090430_10.09.49(6705-6720).csv;50.0
rec002_20090430_10.09.49(6720-6735).csv;50.0
rec002_20090430_10.09.49(6735-6750).csv;50.0
rec002_20090430_10.09.49(6750-6765).csv;50.0
rec002_20090430_10.09.49(6765-6780).csv;50.0
rec002_20090430_10.09.49(6780-6795).csv;50.0
rec002_20090430_10.09.49(6795-6810).csv;50.0
rec002_20090430_10.09.49(6810-6825).csv;50.0
rec002_20090430_10.09.49(6825-6840).csv;50.0
rec002_20090430_10.09.49(6840-6855).csv;50.0
rec002_20090430_10.09.49(6855-6870).csv;50.0
rec002_20090430_10.09.49(6870-6885).csv;50.0
rec002_20090430_10.09.49(6885-6900).csv;50.0
rec002_20090430_10.09.49(6900-6915).csv;50.0
rec002_20090430_10.09.49(6915-6930).csv;50.0
rec002_20090430_10.09.49(6930-6945).csv;50.0
rec002_20090430_10.09.49(6945-6960).csv;50.0
rec002_20090430_10.09.49(6960-6975).csv;50.0
rec002_20090430_10.09.49(6975-6990).csv;50.0
rec002_20090430_10.09.49(6990-7005).csv;50.0
rec002_20090430_10.09.49(7005-7020).csv;50.0
rec002_20090430_10.09.49(7020-7035).csv;50.0
rec002_20090430_10.09.49(7035-7050).csv;50.0
rec002_20090430_10.09.49(7050-7065).csv;50.0
rec002_20090430_10.09.49(7065-7080).csv;50.0
rec002_20090430_10.09.49(7080-7095).csv;50.0
rec002_20090430_10.09.49(7095-7110).csv;50.0
rec002_20090430_10.09.49(7110-7125).csv;50.0
rec002_20090430_10.09.49(7125-7140).csv;50.0
rec002_20090430_10.09.49(7140-7155).csv;50.0
rec002_20090430_10.09.49(7155-7170).csv;50.0
rec002_20090430_10.09.49(7170-7185).csv;50.0
rec002_20090430_10.09.49(7185-7200).csv;50.0
rec002_20090430_10.09.49(7200-7215).csv;50.0
rec002_20090430_10.09.49(7215-7230).csv;50.0
rec002_20090430_10.09.49(7230-7245).csv;50.0
rec002_20090430_10.09.49(7245-7260).csv;50.0
rec002_20090430_10.09.49(7260-7275).csv;50.0
rec002_20090430_10.09.49(7275-7290).csv;50.0
rec002_20090430_10.09.49(7290-7305).csv;50.0
rec002_20090430_10.09.49(7305-7320).csv;50.0
rec002_20090430_10.09.49(7320-7335).csv;None
rec004_20090504_09.59.21(0-15).csv;None
rec004_20090504_09.59.21(105-120).csv;-1
rec004_20090504_09.59.21(120-135).csv;-1
rec004_20090504_09.59.21(135-150).csv;-1
rec004_20090504_09.59.21(15-30).csv;None
rec004_20090504_09.59.21(150-165).csv;-1
rec004_20090504_09.59.21(165-180).csv;-1
rec004_20090504_09.59.21(180-195).csv;-1
rec004_20090504_09.59.21(195-210).csv;-1
rec004_20090504_09.59.21(210-225).csv;-1
rec004_20090504_09.59.21(225-240).csv;-1
rec004_20090504_09.59.21(240-255).csv;-1
rec004_20090504_09.59.21(255-270).csv;-1
rec004_20090504_09.59.21(270-285).csv;-1
rec004_20090504_09.59.21(285-300).csv;-1
rec004_20090504_09.59.21(30-45).csv;None
rec004_20090504_09.59.21(300-315).csv;-1
rec004_20090504_09.59.21(315-330).csv;-1
rec004_20090504_09.59.21(45-60).csv;-1
rec004_20090504_09.59.21(60-75).csv;-1
rec004_20090504_09.59.21(75-90).csv;-1
rec004_20090504_09.59.21(90-105).csv;-1
rec004_20090504_09.59.21(330-345).csv;-1
rec004_20090504_09.59.21(345-360).csv;50.0
rec004_20090504_09.59.21(360-375).csv;50.0
rec004_20090504_09.59.21(375-390).csv;50.0
rec004_20090504_09.59.21(390-405).csv;50.0
rec004_20090504_09.59.21(405-420).csv;50.0
rec004_20090504_09.59.21(420-435).csv;50.0
rec004_20090504_09.59.21(435-450).csv;50.0
rec004_20090504_09.59.21(450-465).csv;50.0
rec004_20090504_09.59.21(465-480).csv;50.0
rec004_20090504_09.59.21(480-495).csv;50.0
rec004_20090504_09.59.21(495-510).csv;50.0
rec004_20090504_09.59.21(510-525).csv;50.0
rec004_20090504_09.59.21(525-540).csv;50.0
rec004_20090504_09.59.21(540-555).csv;50.0
rec004_20090504_09.59.21(555-570).csv;50.0
